iter	Passed	Remaining
164	2598	13151
165	2620	13165
166	2632	13131
167	2646	13108
168	2673	13146
169	2684	13104
170	2697	13078
171	2707	13035
172	2721	13007
173	2729	12958
174	2739	12915
175	2757	12910
176	2766	12865
177	2777	12826
178	2786	12780
179	2794	12729
180	2805	12696
181	2817	12664
182	2831	12641
183	2848	12630
184	2861	12606
185	2871	12568
186	2880	12525
187	2891	12487
188	2900	12447
189	2912	12414
190	2923	12381
191	2933	12346
192	2942	12304
193	2950	12259
194	2960	12221
195	2971	12188
196	2981	12153
197	2991	12115
198	3001	12082
199	3011	12045
200	3020	12005
201	3028	11965
202	3037	11923
203	3047	11892
204	3061	11872
205	3072	11844
206	3099	11873
207	3140	11957
208	3158	11955
209	3181	11967
210	3196	11953
211	3276	12180
212	3288	12151
213	3303	12134
214	3322	12132
215	3337	12112
216	3509	12662
217	3521	12632
218	3537	12615
219	3642	12913
220	3682	12979
221	3713	13012
222	3725	12982
223	3737	12948
224	3773	12997
225	3784	12961
226	3798	12933
227	3820	12937
228	3838	12924
229	3862	12930
230	3877	12907
231	3888	12870
232	3910	12873
233	3921	12838
234	3934	12808
235	3943	12766
236	3956	12738
237	3990	12775
238	4003	12749
239	4030	12763
240	4044	12737
241	4053	12696
242	4063	12657
243	4075	12627
244	4087	12594
245	4098	12563
246	4107	12521
247	4117	12484
248	4126	12445
249	4132	12396
250	4140	12355
251	4148	12314
252	4154	12266
253	4160	12220
254	4166	12173
255	4173	12128
256	4180	12086
257	4187	12041
258	4194	12000
259	4202	11961
260	4209	11918
261	4216	11877
262	4223	11834
263	4231	11798
264	4241	11764
265	4248	11723
266	4256	11684
267	4262	11643
268	4274	11614
269	4282	11579
270	4289	11539
271	4301	11511
272	4308	11472
273	4316	11435
274	4321	11393
275	4328	11354
276	4335	11316
277	4342	11278
278	4347	11233
279	4354	11196
280	4359	11155
281	4365	11115
282	4372	11078
283	4379	11042
284	4387	11007
285	4393	10968
286	4402	10937
287	4415	10915
288	4424	10885
289	4440	10870
290	4449	10841
291	4457	10808
292	4468	10782
293	4479	10757
294	4496	10745
295	4512	10731
296	4518	10695
297	4528	10668
298	4538	10641
299	4548	10614
300	4560	10590
301	4576	10577
302	4588	10554
303	4598	10528
304	4615	10517
305	4627	10495
306	4635	10463
307	4642	10429
308	4647	10392
309	4658	10369
310	4672	10352
311	4702	10369
312	4709	10336
313	4715	10301
314	4721	10268
315	4727	10233
316	4733	10199
317	4739	10164
318	4747	10134
319	4752	10099
320	4760	10069
321	4767	10037
322	4776	10010
323	4784	9983
324	4792	9953
325	4799	9923
326	4807	9893
327	4813	9862
328	4820	9831
329	4826	9798
330	4831	9765
331	4837	9732
332	4844	9703
333	4852	9676
334	4859	9646
335	4865	9615
336	4871	9584
337	4877	9552
338	4882	9520
339	4889	9492
340	4896	9462
341	4907	9442
342	4915	9416
343	4924	9390
344	4933	9366
345	4944	9345
346	4950	9316
347	4956	9285
348	4961	9254
349	4967	9225
350	4974	9198
351	4982	9171
352	4987	9141
353	4993	9111
354	5002	9088
355	5007	9058
356	5013	9030
357	5020	9002
358	5028	8977
359	5033	8948
360	5040	8922
361	5046	8893
362	5052	8866
363	5059	8839
364	5064	8810
365	5071	8784
366	5077	8757
367	5083	8730
368	5089	8703
369	5095	8676
370	5103	8652
371	5109	8625
372	5116	8600
373	5122	8574
374	5129	8548
375	5135	8522
376	5141	8495
377	5146	8468
378	5151	8441
379	5157	8414
380	5162	8388
381	5168	8362
382	5173	8334
383	5179	8309
384	5186	8285
385	5192	8259
386	5198	8235
387	5204	8209
388	5210	8183
389	5214	8156
390	5220	8130
391	5225	8104
392	5230	8078
393	5235	8052
394	5242	8028
395	5246	8002
396	5252	7977
397	5258	7953
398	5266	7932
399	5270	7906
400	5278	7884
401	5284	7860
402	5290	7836
403	5295	7812
404	5300	7787
405	5306	7764
406	5313	7742
407	5321	7720
408	5326	7697
409	5331	7672
410	5338	7650
411	5343	7626
412	5350	7604
413	5357	7583
414	5361	7557
415	5368	7536
416	5372	7511
417	5376	7486
418	5381	7461
419	5384	7435
420	5388	7410
421	5391	7384
422	5395	7359
423	5398	7334
424	5403	7310
425	5408	7286
426	5411	7262
427	5415	7237
428	5420	7214
429	5425	7191
430	5428	7167
431	5432	7142
432	5437	7120
433	5441	7096
434	5444	7071
435	5448	7047
436	5451	7023
437	5455	6999
438	5458	6975
439	5462	6952
440	5466	6928
441	5469	6905
442	5473	6881
443	5476	6858
444	5480	6835
445	5483	6811
446	5487	6788
447	5491	6766
448	5495	6743
449	5498	6720
450	5502	6698
451	5507	6676
452	5510	6653
453	5514	6631
454	5518	6610
455	5524	6590
456	5528	6568
457	5531	6546
458	5535	6524
459	5539	6502
460	5542	6480
461	5546	6458
462	5549	6436
463	5553	6415
464	5557	6393
465	5560	6372
466	5564	6350
467	5568	6329
468	5572	6309
469	5577	6288
470	5581	6268
471	5585	6247
472	5589	6227
473	5593	6206
474	5598	6187
475	5603	6168
476	5606	6147
477	5612	6129
478	5616	6109
479	5620	6088
480	5624	6068
481	5629	6049
482	5634	6030
483	5638	6011
484	5644	5993
485	5647	5973
486	5651	5953
487	5655	5934
488	5659	5914
489	5663	5894
490	5668	5875
491	5673	5857
492	5677	5838
493	5681	5819
494	5685	5800
495	5688	5780
496	5693	5761
497	5697	5743
498	5701	5723
499	5705	5705
500	5709	5686
501	5714	5669
502	5719	5650
503	5723	5632
504	5728	5615
505	5733	5597
506	5737	5578
507	5741	5560
508	5745	5542
509	5750	5524
510	5754	5506
511	5760	5490
512	5764	5472
513	5767	5453
514	5771	5435
515	5775	5417
516	5778	5398
517	5782	5380
518	5785	5361
519	5788	5342
520	5791	5324
521	5794	5306
522	5797	5287
523	5801	5270
524	5804	5251
525	5808	5234
526	5811	5215
527	5813	5197
528	5817	5179
529	5820	5161
530	5824	5144
531	5827	5126
532	5830	5108
533	5834	5091
534	5837	5073
535	5840	5056
536	5844	5038
537	5847	5021
538	5850	5003
539	5853	4986
540	5856	4969
541	5860	4952
542	5863	4934
543	5866	4917
544	5869	4900
545	5873	4883
546	5876	4866
547	5879	4849
548	5882	4832
549	5885	4815
550	5888	4798
551	5892	4782
552	5895	4765
553	5898	4748
554	5901	4732
555	5906	4716
556	5910	4700
557	5913	4684
558	5918	4668
559	5922	4653
560	5928	4639
561	5931	4623
562	5936	4607
563	5941	4592
564	5944	4576
565	5949	4562
566	5954	4547
567	5958	4531
568	5962	4516
569	5966	4500
570	5969	4484
571	5972	4468
572	5978	4455
573	5982	4440
574	5986	4425
575	5991	4410
576	5995	4395
577	5999	4380
578	6003	4364
579	6009	4351
580	6012	4335
581	6016	4321
582	6024	4309
583	6028	4294
584	6034	4280
585	6038	4266
586	6043	4251
587	6051	4239
588	6055	4225
589	6064	4214
590	6069	4200
591	6073	4185
592	6080	4173
593	6083	4158
594	6091	4146
595	6098	4133
596	6103	4120
597	6111	4108
598	6115	4094
599	6120	4080
600	6125	4066
601	6130	4052
602	6137	4040
603	6141	4026
604	6146	4012
605	6153	4000
606	6158	3987
607	6162	3972
608	6167	3959
609	6172	3946
610	6179	3934
611	6184	3920
612	6188	3906
613	6196	3895
614	6201	3881
615	6206	3868
616	6211	3855
617	6215	3842
618	6225	3831
619	6230	3818
620	6238	3807
621	6242	3793
622	6246	3779
623	6253	3768
624	6258	3755
625	6264	3742
626	6271	3730
627	6279	3719
628	6287	3708
629	6297	3698
630	6303	3686
631	6312	3675
632	6317	3662
633	6326	3652
634	6332	3639
635	6341	3629
636	6346	3616
637	6359	3608
638	6365	3595
639	6371	3583
640	6375	3570
641	6380	3558
642	6388	3547
643	6397	3536
644	6405	3525
645	6414	3515
646	6422	3504
647	6430	3493
648	6435	3480
649	6439	3467
650	6444	3455
651	6450	3442
652	6458	3432
653	6464	3420
654	6477	3411
655	6487	3401
656	6491	3389
657	6496	3376
658	6503	3365
659	6510	3353
660	6517	3342
661	6521	3329
662	6526	3317
663	6542	3310
664	6548	3298
665	6551	3285
666	6557	3273
667	6563	3262
668	6568	3249
669	6572	3237
670	6577	3224
671	6583	3213
672	6587	3200
673	6592	3188
674	6598	3176
675	6603	3165
676	6608	3152
677	6612	3140
678	6619	3129
679	6624	3117
680	6630	3106
681	6635	3093
682	6639	3081
683	6642	3068
684	6645	3055
685	6649	3043
686	6653	3031
687	6657	3019
688	6661	3007
689	6665	2994
690	6668	2982
691	6671	2969
692	6677	2957
693	6680	2945
694	6684	2933
695	6688	2921
696	6693	2909
697	6697	2897
698	6700	2885
699	6707	2874
700	6710	2862
701	6714	2850
702	6721	2839
703	6725	2827
704	6729	2816
705	6736	2805
706	6740	2793
707	6744	2781
708	6749	2770
709	6755	2759
710	6759	2747
711	6767	2737
712	6771	2725
713	6775	2713
714	6780	2702
715	6784	2691
716	6789	2679
717	6793	2668
718	6797	2656
719	6800	2644
720	6804	2633
721	6810	2622
722	6815	2611
723	6820	2599
724	6825	2588
725	6828	2577
726	6831	2565
727	6834	2553
728	6839	2542
729	6843	2531
730	6847	2519
731	6851	2508
732	6855	2497
733	6859	2485
734	6863	2474
735	6868	2463
736	6871	2452
737	6874	2440
738	6877	2429
739	6883	2418
740	6887	2407
741	6890	2396
742	6894	2384
743	6898	2373
744	6902	2362
745	6906	2351
746	6909	2340
747	6913	2329
748	6917	2318
749	6921	2307
750	6927	2296
751	6931	2285
752	6934	2274
753	6937	2263
754	6942	2253
755	6945	2241
756	6948	2230
757	6951	2219
758	6955	2208
759	6958	2197
760	6962	2186
761	6964	2175
762	6967	2164
763	6971	2153
764	6974	2142
765	6976	2131
766	6980	2120
767	6984	2109
768	6987	2099
769	6991	2088
770	6994	2077
771	6999	2067
772	7003	2056
773	7006	2045
774	7010	2035
775	7016	2025
776	7021	2015
777	7025	2004
778	7032	1995
779	7036	1984
780	7040	1974
781	7047	1964
782	7053	1954
783	7058	1944
784	7062	1934
785	7066	1923
786	7069	1913
787	7075	1903
788	7078	1892
789	7082	1882
790	7087	1872
791	7092	1862
792	7096	1852
793	7100	1842
794	7104	1832
795	7107	1821
796	7110	1811
797	7116	1801
798	7120	1791
799	7124	1781
800	7127	1770
801	7132	1760
802	7136	1750
803	7140	1740
804	7147	1731
805	7151	1721
806	7155	1711
807	7162	1701
808	7166	1691
809	7170	1681
810	7177	1672
811	7181	1662
812	7185	1652
813	7193	1643
814	7197	1633
815	7204	1624
816	7208	1614
817	7215	1605
818	7220	1595
819	7224	1585
820	7228	1575
821	7235	1566
822	7240	1557
823	7246	1547
824	7250	1538
825	7255	1528
826	7262	1519
827	7267	1509
828	7271	1499
829	7278	1490
830	7282	1481
831	7286	1471
832	7292	1462
833	7298	1452
834	7304	1443
835	7309	1434
836	7313	1424
837	7317	1414
838	7321	1404
839	7324	1395
840	7327	1385
841	7330	1375
842	7334	1365
843	7337	1356
844	7340	1346
845	7343	1336
846	7346	1327
847	7349	1317
848	7352	1307
849	7355	1298
850	7359	1288
851	7362	1278
852	7365	1269
853	7367	1259
854	7370	1250
855	7374	1240
856	7378	1231
857	7381	1221
858	7385	1212
859	7389	1202
860	7394	1193
861	7398	1184
862	7405	1175
863	7408	1166
864	7412	1156
865	7415	1147
866	7420	1138
867	7423	1128
868	7425	1119
869	7428	1110
870	7432	1100
871	7435	1091
872	7438	1082
873	7441	1072
874	7444	1063
875	7446	1054
876	7449	1044
877	7452	1035
878	7455	1026
879	7458	1017
880	7461	1007
881	7464	998
882	7467	989
883	7470	980
884	7473	971
885	7475	961
886	7478	952
887	7481	943
888	7484	934
889	7487	925
890	7490	916
891	7493	907
892	7496	898
893	7499	889
894	7502	880
895	7505	871
896	7508	862
897	7511	853
898	7514	844
899	7519	835
900	7522	826
901	7526	817
902	7530	808
903	7534	800
904	7537	791
905	7540	782
906	7544	773
907	7550	765
908	7554	756
909	7559	747
910	7563	738
911	7568	730
912	7573	721
913	7578	713
914	7584	704
915	7589	695
916	7593	687
917	7598	678
918	7603	670
919	7608	661
920	7613	653
921	7619	644
922	7624	636
923	7628	627
924	7634	619
925	7640	610
926	7645	602
927	7649	593
928	7656	585
929	7660	576
930	7664	568
931	7668	559
932	7672	550
933	7676	542
934	7680	533
935	7684	525
936	7688	516
937	7691	508
938	7695	499
939	7699	491
940	7703	482
941	7706	474
942	7711	466
943	7715	457
944	7720	449
945	7724	440
946	7729	432
947	7733	424
948	7737	415
949	7744	407
950	7750	399
951	7755	391
952	7761	382
953	7765	374
954	7769	366
955	7773	357
956	7778	349
957	7781	341
958	7785	332
959	7789	324
960	7793	316
961	7796	307
962	7799	299
963	7802	291
964	7805	283
965	7808	274
966	7811	266
967	7814	258
968	7817	250
969	7820	241
970	7823	233
971	7825	225
972	7829	217
973	7832	209
974	7835	200
975	7837	192
976	7840	184
977	7843	176
978	7846	168
979	7849	160
980	7852	152
981	7856	144
982	7859	135
983	7862	127
984	7865	119
985	7868	111
986	7872	103
987	7875	95
988	7879	87
989	7882	79
990	7887	71
991	7892	63
992	7895	55
993	7898	47
994	7902	39
995	7906	31
996	7909	23
997	7912	15
998	7915	7
999	7919	0
